Raw data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,without ricin,,,,,,,,,,,,,,,,,,,,with ricin,,,,,,,,,,,,,,,,,,,,without ricin,,,,,,,,,,,,,,,,,,,,with ricin,,,,,,,,,,,,,,,,,,,
,100Hz,,,,,400Hz,,,,,1kHz,,,,,10kHz,,,,,100Hz,,,,,400Hz,,,,,1kHz,,,,,10kHz,,,,,100Hz,,,,,400Hz,,,,,1kHz,,,,,10kHz,,,,,100Hz,,,,,400Hz,,,,,1kHz,,,,,10kHz,,,,
,0min,5min,10min,15min,20min,0min,5min,10min,15min,20min,0min,5min,10min,15min,20min,0min,5min,10min,15min,20min,0min,5min,10min,15min,20min,0min,5min,10min,15min,20min,0min,5min,10min,15min,20min,0min,5min,10min,15min,20min,0min,5min,10min,15min,20min,0min,5min,10min,15min,20min,0min,5min,10min,15min,20min,0min,5min,10min,15min,20min,0min,5min,10min,15min,20min,0min,5min,10min,15min,20min,0min,5min,10min,15min,20min,0min,5min,10min,15min,20min
Half and half,-65.08,-66.14,-66.88,-67.33,-67.64,-42.31,-43.45,-44.61,-45.2,-45.67,-25.42,-25.92,-26.93,-27.4,-27.74,-4.59,-4.654,-4.827,-4.925,-4.969,-65.32,-66.76,-67.38,-67.84,-68.17,-39.23,-40.93,-41.84,-42.46,-42.82,-21.47,-22.63,-23.33,-23.87,-24.13,-3.613,-3.886,-4.011,-4.157,-4.159,687.4,680.6,677.4,672.8,671.2,279.4,270,263.5,259.4,256.8,203.3,194.7,187.1,182.7,180,163.8,158.5,149.9,145.3,142,564.8,562.4,561.4,560.5,560.4,233.5,225.6,221.9,219.4,218,180.1,170.7,166.2,162.9,160.7,156,146.8,141.2,137.5,135.4
Apple juice,-63.35,-63.88,-64.18,-64.44,-64.66,-34.83,-35.19,-35.48,-35.74,-35.96,-18.85,-18.97,-19.11,-19.24,-19.38,-3.07,-2.964,-2.935,-2.982,-2.928,-63.03,-63.29,-63.51,-63.45,-63.55,-34.52,-34.72,-34.8,-34.83,-34.85,-17.94,-18.06,-18.06,-18.03,-17.99,-2.626,-2.568,-2.578,-2.664,-2.639,754.2,769.2,775,778.3,780,340.2,344.4,344.8,344.2,343.2,274.1,277.3,277,275.9,274.7,241.1,245.4,245.1,244.2,242.7,699,701.5,701.1,701.5,701.3,313.5,313,312.3,311.7,311.3,255.5,255,253.7,254,253.4,230.3,229.7,229.2,229.7,229.5
Cranberry juice,-50.27,-50.31,-50.31,-50.23,-50.17,-22.04,-22.03,-21.98,-21.87,-21.8,-10.7,-10.73,-10.66,-10.6,-10.58,-1.561,-1.586,-1.625,-1.628,-1.59,-46.98,-46.94,-45.76,-45.9,-46.02,-19.13,-19.06,-18.25,-18.3,-18.34,-9.139,-9.175,-8.632,-8.766,-8.644,-1.513,-1.387,-1.391,-1.451,-1.277,1013,1015,1011,1004,999.2,609.7,611,608.9,606.3,603.9,550.3,551.8,550.9,548.3,547.5,522,525.3,524.6,523,523.4,821,827.4,844,842.4,840.8,531.7,537.4,560,558.3,556.5,491,496,520.9,518.5,517.2,469.2,475.9,500,499.6,497.9
Grape juice,-56.73,-57.19,-57.33,-57.48,-57.66,-26.78,-27.14,-27.33,-27.41,-27.46,-13.07,-13.1,-13.14,-13.23,-13.24,-1.921,-1.872,-1.808,-1.768,-1.838,-61.35,-61.3,-61.37,-61.41,-61.54,-31.59,-31.75,-31.79,-31.75,-31.7,-15.97,-16.05,-16,-15.88,-15.81,-2.301,-2.285,-2.281,-2.146,-2.203,570.7,574.1,575.6,575.4,575,299.6,298.7,297.6,296.6,295.8,262.9,261.5,260.4,259.4,259,247.1,246.9,245.4,245.1,244.6,660.8,663.4,663.2,662.7,661.3,312.7,312,311.2,310.7,310.3,262.6,261.5,261.3,260.8,260.8,241.3,241.6,240.8,241.4,241.3
Tomato juice,-81.06,-80.91,-81.29,-81.29,-81.17,-73.62,-73.87,-73.97,-74.09,-74.01,-61.29,-61.74,-61.82,-61.84,-61.89,-16.38,-16.57,-16.69,-16.67,-16.68,-80.26,-80.44,-80.47,-80.4,-80.4,-69.76,-70.04,-70.1,-70.14,-70.14,-54.04,-54.32,-54.62,-54.69,-54.69,-12.48,-12.57,-12.58,-12.58,-12.58,730.5,737.3,740.2,742.5,743.6,206.2,207.8,208.6,209.1,209.5,96.42,96.43,96.53,96.54,96.71,38.41,38.23,38.13,38.03,37.99,567.3,574.2,576.5,578.4,578.4,162.6,164.6,165.2,165.7,165.7,80.56,81.12,81.39,81.36,81.36,40.09,40.1,40.04,40,40
Orange juice,-71.58,-71.78,-71.94,-72.05,-72.13,-45.83,-46.05,-46.28,-46.47,-46.64,-25.8,-26.02,-26.08,-26.28,-26.34,-4.143,-4.164,-4.188,-4.219,-4.239,-70.13,-70.71,-70.95,-70.96,-70.97,-43.85,-44.45,-44.76,-44.85,-44.9,-24.43,-24.92,-25.1,-25.27,-25.23,-3.816,-3.825,-3.887,-3.822,-3.886,682.6,693.1,697.2,699.2,700.3,248.1,251.5,252.3,252.3,252.1,178.4,180.7,181.1,180.4,180.1,148,150.9,150.9,150.1,149.7,631.9,643.5,649.3,650.6,651.2,238.6,240.6,241.6,241.8,241.9,175.3,176,175.8,176,175.9,147.8,148.2,148.2,147.8,147.8
Vege soup,-79.5,-79.7,-79.67,-79.76,-79.74,-68.96,-69.41,-69.61,-69.82,-69.96,-53.72,-54.21,-54.44,-54.72,-54.92,-12.08,-12.1,-12.15,-12.27,-12.19,-79.39,-79.42,-79.52,-79.42,-79.46,-68.37,-68.7,-68.89,-69.02,-69.14,-52.02,-52.59,-52.81,-53.17,-53.29,-11.01,-11.04,-11.15,-11.19,-11.14,586.3,594.2,598.7,602.1,605,170.8,172.4,173.3,174.1,174.8,85.36,85.4,85.65,85.72,86.09,42.74,42.49,42.35,42.23,42.12,589.5,598.2,603.1,606.9,609.8,171.6,174,175.2,176.1,176.7,86.35,87.14,87.57,87.64,87.74,45.87,45.83,45.67,45.65,45.56
Beef broth,-77.9,-78.41,-78.6,-78.71,-78.7,-70.94,-71.46,-71.64,-71.67,-71.74,-57.32,-57.79,-58.2,-58.32,-58.33,-13.28,-13.65,-13.73,-13.72,-13.79,-78.32,-78.73,-78.8,-79.03,-78.97,-70.83,-71.21,-71.37,-71.47,-71.56,-56.86,-57.27,-57.43,-57.57,-57.55,-12.57,-12.65,-12.66,-12.73,-12.64,583,592.4,597.5,600.1,602.2,166.4,168.6,170,171,171.6,79.77,80.54,80.9,81.29,81.65,36.03,36.03,35.94,35.92,35.93,592.1,599.7,603.4,606.4,609.1,170.1,171.8,172.7,173.5,174.1,81.46,82.2,82.24,82.5,82.71,38.19,38.2,38.2,38.24,38.27
Chicken broth,-78.59,-79.38,-79.26,-79.37,-79.57,-73.87,-74.21,-74.24,-74.32,-74.38,-63.35,-63.35,-63.69,-63.85,-64.04,-17.88,-18.06,-18.19,-18.36,-18.21,-79.04,-79.63,-79.71,-79.78,-79.69,-71.19,-71.49,-71.56,-71.64,-71.65,-57.04,-57.44,-57.68,-57.89,-58.01,-13.89,-14.11,-14.12,-14.15,-14.31,803.2,811.8,815.7,820.3,823.7,226.8,230.1,231.9,233.9,235,103.7,105.6,106.1,106.9,107.2,38.26,38.29,38.19,38.19,38.18,620.3,628.3,632.3,635.3,638,176.2,178.5,179.9,180.8,181.7,84.51,85.56,86.07,86.54,86.95,38.56,38.49,38.52,38.57,38.61
Tomato paste (diluted half with water),-78.43,-78.55,-78.52,-78.47,-78.65,-63.16,-63.56,-63.76,-63.88,-64.07,-43.35,-43.89,-44.23,-44.36,-44.57,-8.005,-8.12,-8.126,-8.216,-8.232,-73.21,-73.21,-73.16,-73.18,-73.17,-56.81,-57.12,-57.3,-57.41,-57.53,-38.2,-38.83,-38.99,-39.18,-39.32,-7.295,-7.436,-7.431,-7.438,-7.468,588,595.6,599,600.9,602.8,175.4,177.3,178,178.3,178.7,96.87,97.35,97.52,97.36,97.49,62.9,62.73,62.51,62.33,62.09,464,469.7,472.9,474.9,477,154.5,156.2,157.2,157.8,158.3,92.17,92.56,92.93,93.03,93.21,63.4,63.29,63.2,63.19,63.09
